Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      M'    250      0    2250     2000      600856
  2      N'    100      0    2350     2000        938
  3      L'    250      0    2600     2000       1004
  4      K'    100      0    2700     2000       1023
  5      M'    220      0    2920     2000        809
  6      M'    265      0    3185     2000        997
  7      M'    108      0    3293     2000        744
  8      M'    108      0    3401     2000       1348
  9      M'    250   -923    2728     2000       2187
 10      L'    220      0    2948     2000        686
 11      L'     80      0    3028     2000        994
 12      L'    280      0    3308     2000       1802
 13      L'    110      0    3418     2000       1373
 14      L'    250  -1025    2643     2000        935
 15      K'    120   -250    2513     2000       2286
 16      K'    265      0    2778     2000        962
 17      K'     55   -200    2633     2000       1625
 18      K'    235      0    2868     2000        970
 19      N'    117      0    2985     2000        780
 20      K'    100      0    3085     2000        854
 21      K'    235   -250    3070     2000       1223
 22      K'    120      0    3190     2000        885
 23      K'    110   -300    3000     2000       1430
 24      K'     60   -150    2910     2000       1364
 25      N'    265   -235    2940     2000        915
 26      N'    280      0    3220     2000        983
 27      N'    235   -250    3205     2000        456
 28      N'     90      0    3295     2000        989
 29      K'    265      0    3560     2000        896
 30      K'     50   -180    3430     2000       1107
 31      K'    285      0    3715     2000       1996
 32      N'    235   -755    3195     2000       1663
 33      N'    280      0    3475     2000        941
 34      K'     50   -100    3425     2000       1736
 35      K'    120   -170    3375     2000       4278
 36      L'     80      0    3455     2000       1300
 37      M'    235      0    3690     2000       1344
 38      K'     70      0    3760     2000       1014
 39      N'    265   -515    3510     2000       2521
 40      K'    265   -165    3610     2000       1507
 41      N'    220   -582    3248     2000        766
 42      K'     50   -185    3113     2000       1766
 43      K'     50   -190    2973     2000       1504
 44      K'     55      0    3028     2000       3012
 45      M'     90      0    3118     2000       1096
 46      K'     50   -225    2943     2000       1467
 47      L'    280      0    3223     2000        938
 48      K'    310   -310    3223     2000       5561
 49      N'    108      0    3331     2000        975
 50      K'    110      0    3441     2000        689
 51      L'    265  -1325    2381     2000        727
 52      L'    285      0    2666     2000        720
 53      M'    117      0    2783     2000       1625
 54      K'    295   -200    2878     2000       1074
 55      N'    108   -285    2701     2000       4030
 56      K'     75      0    2776     2000        731
 57      L'    110      0    2886     2000        842
 58      K'    120   -180    2826     2000       1471
 59      K'    130   -175    2781     2000       2030
 60      K'    110    -50    2841     2000       1437
 61      K'    350   -180    3011     2000       1564
 62      K'     60      0    3071     2000       6808
 63      N'    125   -550    2646     2000        834
 64      N'    295      0    2941     2000        430
 65      N'    280   -275    2946     2000       1029
 66      M'     84   -554    2476     2000       2038
 67      K'    130   -200    2406     2000        808
 68      L'    250      0    2656     2000       1083
 69      M'    265      0    2921     2000        524
 70      K'    310   -275    2956     2000        822
 71      K'    345   -365    2936     2000       3324
 72      K'    130   -210    2856     2000       2991
 73      K'    150   -160    2846     2000       1388
 74      L'     90      0    2936     2000       6267
 75      K'     80      0    3016     2000       1076
 76      K'    140   -130    3026     2000       1897
 77      K'    325    -70    3281     2000       3285
 78      N'    295      0    3576     2000       1161
 79      K'    150   -100    3626     2000       4997
 80      K'     60      0    3686     2000       4497
 81      L'    295  -1200    2781     2000       5492
 82      L'    280      0    3061     2000        635
 83      K'    140   -310    2891     2000       2895
 84      K'    130   -150    2871     2000       4202
 85      K'    150   -175    2846     2000       4336
 86      K'    380   -210    3016     2000       4059
 87      K'    360   -260    3116     2000       3380
 88      K'     60      0    3176     2000       7422
 89      N'    265   -440    3001     2000        746
 90      N'    285   -575    2711     2000        642
 91      N'    250      0    2961     2000        926
 92      K'    150   -150    2961     2000       1644
 93      K'    340   -155    3146     2000        822
 94      K'    130   -120    3156     2000        839
 95      K'    120   -100    3176     2000       1494
 96      K'    325   -350    3151     2000       4400
 97      K'    340   -200    3291     2000        835
 98      K'    410    -75    3626     2000        861
 99      K'    150    -75    3701     2000       1442
 100      K'    130   -150    3681     2000       1058
