Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      N'    100      0    2100     2000      208405
  2      M'    250      0    2350     2000       4310
  3      N'    117      0    2467     2000       3079
  4      M'    220      0    2687     2000       2434
  5      M'    265      0    2952     2000      12924
  6      N'    265   -235    2982     2000       5297
  7      M'    108      0    3090     2000        689
  8      M'    108      0    3198     2000       1302
  9      M'    250   -923    2525     2000        570
 10      K'    100      0    2625     2000        715
 11      K'    120   -250    2495     2000       2922
 12      L'    250      0    2745     2000       1565
 13      L'    220      0    2965     2000       3164
 14      N'    280      0    3245     2000       2757
 15      N'    235   -250    3230     2000       2947
 16      L'     80      0    3310     2000       3257
 17      L'    280      0    3590     2000       3869
 18      N'     90      0    3680     2000       5389
 19      N'    235   -755    3160     2000       3861
 20      L'    110      0    3270     2000       2268
 21      L'    250  -1025    2495     2000       2207
 22      M'    235      0    2730     2000       2524
 23      K'    265      0    2995     2000       1053
 24      K'     55   -200    2850     2000       5526
 25      M'     90      0    2940     2000        759
 26      M'    117      0    3057     2000       6585
 27      M'     84   -554    2587     2000       8108
 28      L'     80      0    2667     2000        292
 29      N'    280      0    2947     2000       7145
 30      K'    235      0    3182     2000       2715
 31      M'    265      0    3447     2000       5496
 32      N'    265   -515    3197     2000       4149
 33      M'    250      0    3447     2000       2339
 34      K'    100      0    3547     2000       1876
 35      K'    235   -250    3532     2000       3227
 36      N'    220   -582    3170     2000       7228
 37      M'    285      0    3455     2000       3647
 38      K'    120      0    3575     2000       3294
 39      K'    110   -300    3385     2000        233
 40      N'    108      0    3493     2000       1927
 41      M'     90      0    3583     2000       8770
 42      M'    134   -740    2977     2000      21378
 43      N'    108   -285    2800     2000      11054
 44      M'     84      0    2884     2000        145
 45      M'     99      0    2983     2000       1045
 46      K'     60   -150    2893     2000       1016
 47      K'    265      0    3158     2000       2418
 48      M'    117      0    3275     2000       3787
 49      N'    125   -550    2850     2000       5352
 50      M'    134      0    2984     2000        732
 51      K'     50   -180    2854     2000       6056
 52      L'    280      0    3134     2000      13186
 53      M'    101   -549    2686     2000       4540
 54      K'    285      0    2971     2000       3567
 55      L'    265  -1325    1911     2000        232
 56      L'    285      0    2196     2000        598
 57      M'    117      0    2313     2000        887
 58      M'    125      0    2438     2000       1457
 59      K'     50   -100    2388     2000      13996
 60      L'    110      0    2498     2000       3071
 61      N'    295      0    2793     2000        456
 62      M'    210      0    3003     2000       3929
 63      K'    120   -170    2953     2000       8855
 64      K'     70      0    3023     2000        982
 65      M'    152      0    3175     2000       6215
 66      M'    300   -853    2622     2000      10467
 67      L'    250      0    2872     2000       4044
 68      M'    300      0    3172     2000       1119
 69      K'    265   -165    3272     2000      34187
 70      M'    108      0    3380     2000       6764
 71      L'     90      0    3470     2000       9496
 72      K'     50   -185    3335     2000       9486
 73      K'     50   -190    3195     2000        975
 74      L'    295  -1200    2290     2000      14349
 75      M'    125      0    2415     2000       4342
 76      M'    112   -560    1967     2000        893
 77      M'    154      0    2121     2000         78
 78      L'    280      0    2401     2000       5598
 79      K'     55      0    2456     2000      21512
 80      M'    295      0    2751     2000       3378
 81      L'    295      0    3046     2000       9987
 82      M'    143      0    3189     2000      111330
 83      K'     50   -225    3014     2000      25109
 84      M'    108      0    3122     2000       2305
 85      M'    117      0    3239     2000       3975
 86      M'    134   -710    2663     2000      41447
 87      L'     90      0    2753     2000       1107
 88      K'    310   -310    2753     2000       2688
 89      M'    325      0    3078     2000       5049
 90      L'    285  -1500    1863     2000       6038
 91      M'    310      0    2173     2000        501
 92      L'    350      0    2523     2000       4670
 93      K'    110      0    2633     2000      14507
 94      K'    295   -200    2728     2000       1917
 95      M'    143      0    2871     2000       4985
 96      M'    142   -850    2163     2000       1552
 97      M'    153      0    2316     2000       6390
 98      L'    305      0    2621     2000        192
 99      M'    134      0    2755     2000      16114
 100      K'     75      0    2830     2000       9464
