Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      C'     50      0    2050     2000      380794
  2      A'    100      0    2150     2000       2107
  3      D'     50      0    2200     2000       2552
  4      B'    100      0    2300     2000       1203
  5      B'     80      0    2380     2000       1093
  6      D'     40      0    2420     2000        829
  7      A'    120      0    2540     2000       1358
  8      C'     60      0    2600     2000        946
  9      A'     80   -150    2530     2000        789
 10      B'    110      0    2640     2000       1797
 11      D'     45      0    2685     2000        980
 12      A'     90      0    2775     2000        872
 13      C'     40    -50    2765     2000       2331
 14      C'     55      0    2820     2000       1410
 15      A'    110   -300    2630     2000       2078
 16      D'     45      0    2675     2000        955
 17      B'    120      0    2795     2000       1349
 18      C'     55    -50    2800     2000       1233
 19      C'     45      0    2845     2000       3215
 20      D'     55      0    2900     2000        633
 21      B'     90      0    2990     2000        827
 22      A'    100      0    3090     2000        791
 23      C'     50    -50    3090     2000        663
 24      D'     60      0    3150     2000        807
 25      B'    100      0    3250     2000        903
 26      A'     80   -200    3130     2000       1010
 27      A'    120      0    3250     2000       1541
 28      D'     40      0    3290     2000       4055
 29      B'     90      0    3380     2000       1321
 30      D'     55      0    3435     2000       3671
 31      A'    110   -250    3295     2000       1138
 32      A'     90   -350    3035     2000        808
 33      C'     45      0    3080     2000       1317
 34      C'     60    -50    3090     2000       2895
 35      B'    120      0    3210     2000       2183
 36      B'    110  -1250    2070     2000       4535
 37      A'    110      0    2180     2000       1087
 38      C'     40    -50    2170     2000       3009
 39      C'     55      0    2225     2000       2392
 40      D'     50      0    2275     2000       1335
 41      B'     80      0    2355     2000       2255
 42      A'    130   -350    2135     2000        938
 43      D'     60   -250    1945     2000       2044
 44      B'    110      0    2055     2000        850
 45      D'     55      0    2110     2000       1559
 46      C'     55    -25    2140     2000       4780
 47      C'     65    -75    2130     2000       2635
 48      A'     90      0    2220     2000       1142
 49      D'     40      0    2260     2000        903
 50      B'    100      0    2360     2000       1660
 51      A'    100   -250    2210     2000       2106
 52      A'    120   -200    2130     2000       1082
 53      C'     45      0    2175     2000       1982
 54      B'     90      0    2265     2000       6843
 55      D'     60      0    2325     2000       2099
 56      A'    110      0    2435     2000       2202
 57      C'     70    -25    2480     2000       1311
 58      B'    130  -1500    1110     2000       5264
 59      D'     40      0    1150     2000       3538
 60      B'    120      0    1270     2000       3024
 61      A'     90   -300    1060     2000       2113
 62      C'     40      0    1100     2000       2058
 63      A'    130   -150    1080     2000       2131
 64      A'    120   -250     950     2000       3803
 65      D'     45      0     995     2000       3817
 66      A'    100      0    1095     2000       3255
 67      D'     55      0    1150     2000       1474
 68      B'    130      0    1280     2000       1167
 69      D'     65      0    1345     2000        748
 70      B'    110      0    1455     2000       8524
 71      C'     50    -25    1480     2000       3596
 72      A'    120   -250    1350     2000       1410
 73      B'     90      0    1440     2000       1331
 74      D'     70      0    1510     2000       3457
 75      C'     60    -75    1495     2000       6656
 76      C'     70      0    1565     2000       1524
 77      A'    140   -300    1405     2000        892
 78      B'    100      0    1505     2000       1959
 79      A'    110      0    1615     2000       2282
 80      D'     50      0    1665     2000       1278
 81      C'     40    -50    1655     2000       2204
 82      A'    110   -350    1415     2000       1747
 83      B'    120      0    1535     2000       2395
 84      B'    120  -1750     -95     2000       1967
 85      B'    110      0    2015     4000       4135
 86      D'     70   -275    1810     4000        860
 87      C'     60      0    1870     4000       1998
 88      A'    100      0    1970     4000      12162
 89      D'     60      0    2030     4000       1682
 90      D'     55      0    2085     4000       1196
 91      A'    120   -200    2005     4000       2062
 92      B'    140      0    2145     4000       1331
 93      C'     65    -25    2185     4000        754
 94      D'     65      0    2250     4000       1369
 95      A'    130   -250    2130     4000       1035
 96      B'    130      0    2260     4000       4176
 97      C'     55      0    2315     4000       1316
 98      D'     80      0    2395     4000       1124
 99      B'    100      0    2495     4000       1284
 100      C'     80    -50    2525     4000       1470
