Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      K'    100      0    2100     2000      218266
  2      K'    120   -250    1970     2000        563
  3      K'    265      0    2235     2000        556
  4      L'    250      0    2485     2000        357
  5      M'    250      0    2735     2000        519
  6      N'    100      0    2835     2000       1299
  7      M'    220      0    3055     2000        605
  8      M'    265      0    3320     2000        984
  9      K'     55   -200    3175     2000       1226
 10      L'    220      0    3395     2000        959
 11      L'     80      0    3475     2000        875
 12      L'    280      0    3755     2000       1434
 13      L'    110      0    3865     2000       2733
 14      M'    108      0    3973     2000       1040
 15      N'    117      0    4090     2000       1297
 16      N'    265   -235    4120     2000        828
 17      N'    280      0    4400     2000       1287
 18      M'    108      0    4508     2000       1507
 19      L'    250  -1025    3733     2000       1282
 20      M'    250   -923    3060     2000       1002
 21      M'    235      0    3295     2000       1186
 22      M'     90      0    3385     2000        719
 23      N'    235   -250    3370     2000        853
 24      K'    235      0    3605     2000       1654
 25      L'     80      0    3685     2000        692
 26      M'    117      0    3802     2000       1314
 27      N'     90      0    3892     2000        874
 28      N'    235   -755    3372     2000       4397
 29      K'    100      0    3472     2000        481
 30      K'    235   -250    3457     2000        659
 31      L'    280      0    3737     2000       2165
 32      M'     84   -554    3267     2000        909
 33      L'    265  -1325    2207     2000       1432
 34      N'    280      0    2487     2000        979
 35      N'    265   -515    2237     2000        881
 36      N'    220   -582    1875     2000       1724
 37      K'    120      0    1995     2000        660
 38      K'    110   -300    1805     2000       1293
 39      K'     60   -150    1715     2000       1403
 40      L'    285      0    2000     2000        462
 41      L'    110      0    2110     2000       1202
 42      L'    250      0    2360     2000        497
 43      M'    265      0    2625     2000        804
 44      L'     90      0    2715     2000       1545
 45      M'    250      0    2965     2000        545
 46      L'    295  -1200    2060     2000        837
 47      L'    280      0    2340     2000        836
 48      L'    295      0    2635     2000       1150
 49      L'     90      0    2725     2000        370
 50      M'    285      0    3010     2000        835
 51      M'     90      0    3100     2000        968
 52      M'    134   -740    2494     2000        919
 53      M'     84      0    2578     2000       1367
 54      L'    285  -1500    1363     2000        750
 55      K'    265      0    1628     2000        957
 56      N'    108      0    1736     2000        936
 57      N'    108   -285    1559     2000        571
 58      K'     50   -180    1429     2000        619
 59      L'    350      0    1779     2000        597
 60      L'    305      0    2084     2000        710
 61      L'    280  -1400     964     2000        323
 62      M'     99      0    1063     2000        559
 63      M'    117      0    1180     2000        395
 64      M'    134      0    1314     2000        461
 65      M'    101   -549     866     2000        402
 66      K'    285      0    1151     2000        354
 67      L'    140      0    1291     2000        339
 68      K'     50   -100    1241     2000       1025
 69      K'    120   -170    1191     2000        927
 70      K'     70      0    1261     2000        940
 71      K'    265   -165    1361     2000        845
 72      K'     50   -185    1226     2000        822
 73      K'     50   -190    1086     2000        849
 74      M'    117      0    1203     2000        372
 75      M'    125      0    1328     2000        306
 76      M'    210      0    1538     2000        657
 77      M'    152      0    1690     2000        672
 78      M'    300   -853    1137     2000       1291
 79      M'    300      0    1437     2000        469
 80      L'    310      0    1747     2000        381
 81      N'    125   -550    1322     2000        342
 82      M'    108      0    1430     2000        636
 83      L'    110      0    1540     2000        466
 84      L'    300      0    1840     2000        582
 85      L'    300      0    2140     2000        788
 86      L'    280      0    2420     2000        879
 87      M'    125      0    2545     2000       3398
 88      K'     55      0    2600     2000        789
 89      L'    280  -1485    1395     2000       1584
 90      L'    140      0    1535     2000        573
 91      L'    295      0    1830     2000        372
 92      L'    295      0    2125     2000       1144
 93      L'    120  -1550     695     2000        727
 94      L'    140      0     835     2000        830
 95      L'    310      0    1145     2000        651
 96      L'    300      0    1445     2000       1684
 97      L'    325      0    1770     2000       1142
 98      L'    310      0    2080     2000       1222
 99      L'    120  -1615     585     2000      17614
 100      L'    325      0     910     2000        568
