Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      L'    250      0    2250     2000      260471
  2      L'    220      0    2470     2000        299
  3      L'     80      0    2550     2000        646
  4      L'    280      0    2830     2000        420
  5      L'    110      0    2940     2000        406
  6      L'    250  -1025    2165     2000        599
  7      L'     80      0    2245     2000        911
  8      L'    280      0    2525     2000       1169
  9      L'    265  -1325    1465     2000        808
 10      N'    100      0    1565     2000       1178
 11      N'    117      0    1682     2000        835
 12      N'    265   -235    1712     2000        344
 13      N'    280      0    1992     2000        372
 14      N'    235   -250    1977     2000        376
 15      N'     90      0    2067     2000        380
 16      N'    235   -755    1547     2000        790
 17      N'    280      0    1827     2000        318
 18      N'    265   -515    1577     2000        610
 19      M'    250      0    1827     2000        999
 20      M'    220      0    2047     2000       1130
 21      M'    265      0    2312     2000        771
 22      M'    108      0    2420     2000        380
 23      M'    108      0    2528     2000        561
 24      M'    250   -923    1855     2000        564
 25      K'    100      0    1955     2000        856
 26      K'    120   -250    1825     2000        423
 27      K'    265      0    2090     2000        394
 28      K'     55   -200    1945     2000        829
 29      K'    235      0    2180     2000       1014
 30      K'    100      0    2280     2000        581
 31      M'    235      0    2515     2000       5716
 32      K'    235   -250    2500     2000       1090
 33      M'     90      0    2590     2000        377
 34      K'    120      0    2710     2000       1750
 35      M'    117      0    2827     2000        995
 36      K'    110   -300    2637     2000       1003
 37      M'     84   -554    2167     2000        332
 38      K'     60   -150    2077     2000       1291
 39      M'    265      0    2342     2000       1530
 40      K'    265      0    2607     2000        454
 41      M'    250      0    2857     2000        980
 42      K'     50   -180    2727     2000       1121
 43      M'    285      0    3012     2000        777
 44      K'    285      0    3297     2000       1156
 45      M'     90      0    3387     2000        670
 46      M'    134   -740    2781     2000        902
 47      K'     50   -100    2731     2000       4233
 48      M'     84      0    2815     2000       1608
 49      K'    120   -170    2765     2000       1169
 50      M'     99      0    2864     2000        654
 51      M'    117      0    2981     2000       2780
 52      K'     70      0    3051     2000       1365
 53      M'    134      0    3185     2000        800
 54      K'    265   -165    3285     2000       2802
 55      M'    101   -549    2837     2000        874
 56      K'     50   -185    2702     2000       1757
 57      M'    117      0    2819     2000        869
 58      M'    125      0    2944     2000        531
 59      M'    210      0    3154     2000        562
 60      M'    152      0    3306     2000       1730
 61      M'    300   -853    2753     2000        993
 62      M'    300      0    3053     2000        574
 63      M'    108      0    3161     2000        521
 64      M'    125      0    3286     2000        723
 65      M'    112   -560    2838     2000       3637
 66      M'    154      0    2992     2000        623
 67      M'    295      0    3287     2000        981
 68      M'    143      0    3430     2000        794
 69      M'    108      0    3538     2000        531
 70      M'    117      0    3655     2000        782
 71      M'    134   -710    3079     2000        898
 72      M'    325      0    3404     2000       2184
 73      M'    310      0    3714     2000       1536
 74      M'    143      0    3857     2000        771
 75      M'    142   -850    3149     2000       1153
 76      M'    153      0    3302     2000        344
 77      M'    134      0    3436     2000        481
 78      M'    152      0    3588     2000        666
 79      M'    142      0    3730     2000        531
 80      M'    125      0    3855     2000        630
 81      M'    143   -904    3094     2000        637
 82      M'    340      0    3434     2000       6051
 83      M'    380   -810    3004     2000        379
 84      M'    340      0    3344     2000       2484
 85      M'    119      0    3463     2000        367
 86      M'    169      0    3632     2000        819
 87      M'    143      0    3775     2000        795
 88      M'    160      0    3935     2000       7453
 89      M'    125      0    4060     2000       3191
 90      M'    395   -850    3605     2000        605
 91      M'    152      0    3757     2000        539
 92      M'    143      0    3900     2000        647
 93      M'    125      0    4025     2000        475
 94      M'    160   -953    3232     2000       1132
 95      M'    410      0    3642     2000       1525
 96      M'    340      0    3982     2000        970
 97      K'     50   -190    3842     2000       3463
 98      K'     55      0    3897     2000        543
 99      K'     50   -225    3722     2000        872
 100      K'    310   -310    3722     2000        513
