Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      C'     50      0    2050     2000      288077
  2      C'     60      0    2110     2000        754
  3      D'     50      0    2160     2000       1754
  4      D'     40      0    2200     2000         58
  5      D'     45      0    2245     2000        396
  6      A'    100      0    2345     2000        510
  7      B'    100      0    2445     2000        520
  8      A'    120      0    2565     2000        403
  9      B'     80      0    2645     2000        357
 10      A'     80   -150    2575     2000        341
 11      B'    110      0    2685     2000        517
 12      B'    120      0    2805     2000        319
 13      D'     45      0    2850     2000       2414
 14      C'     40    -50    2840     2000        577
 15      B'     90      0    2930     2000        449
 16      B'    100      0    3030     2000        429
 17      D'     55      0    3085     2000        492
 18      D'     60      0    3145     2000        337
 19      B'     90      0    3235     2000        553
 20      B'    120      0    3355     2000        571
 21      B'    110  -1250    2215     2000        361
 22      D'     40      0    2255     2000        321
 23      D'     55      0    2310     2000        386
 24      D'     50      0    2360     2000       1821
 25      B'     80      0    2440     2000       1163
 26      B'    110      0    2550     2000       4563
 27      D'     60   -250    2360     2000       1503
 28      A'     90      0    2450     2000       1324
 29      B'    100      0    2550     2000       2160
 30      B'     90      0    2640     2000        811
 31      C'     55      0    2695     2000       1049
 32      A'    110   -300    2505     2000       1307
 33      A'    100      0    2605     2000        912
 34      A'     80   -200    2485     2000        860
 35      B'    130  -1500    1115     2000        825
 36      C'     55    -50    1120     2000        805
 37      C'     45      0    1165     2000       3327
 38      D'     55      0    1220     2000        610
 39      B'    120      0    1340     2000        352
 40      A'    120      0    1460     2000       1237
 41      C'     50    -50    1460     2000        413
 42      D'     40      0    1500     2000        493
 43      B'    130      0    1630     2000        603
 44      A'    110   -250    1490     2000        363
 45      B'    110      0    1600     2000        587
 46      D'     60      0    1660     2000        327
 47      D'     40      0    1700     2000        775
 48      D'     45      0    1745     2000        390
 49      D'     55      0    1800     2000        302
 50      B'     90      0    1890     2000        691
 51      D'     65      0    1955     2000        319
 52      D'     70      0    2025     2000        585
 53      D'     50      0    2075     2000        786
 54      B'    100      0    2175     2000        773
 55      D'     70   -275    1970     2000        367
 56      B'    120      0    2090     2000       2335
 57      D'     60      0    2150     2000       1040
 58      D'     55      0    2205     2000        384
 59      A'     90   -350    1945     2000       1038
 60      D'     65      0    2010     2000       1420
 61      D'     80      0    2090     2000       1201
 62      D'     40      0    2130     2000       1227
 63      D'     80      0    2210     2000        699
 64      B'    120  -1750     580     2000        891
 65      D'     40      0     620     2000        968
 66      D'     65      0     685     2000        787
 67      D'     55   -300     440     2000        560
 68      D'     60      0     500     2000        463
 69      B'    110      0     610     2000       2619
 70      D'     65      0     675     2000        875
 71      D'     75      0     750     2000        967
 72      D'     60      0     810     2000       1250
 73      A'    110      0     920     2000       1085
 74      D'     65      0     985     2000        542
 75      B'    140      0    1125     2000       1001
 76      D'     75   -325     875     2000        788
 77      C'     45      0     920     2000        948
 78      C'     60    -50     930     2000        937
 79      D'     85      0    1015     2000       2069
 80      D'     45      0    1060     2000        729
 81      B'    130      0    1190     2000       3225
 82      D'     55      0    1245     2000        803
 83      D'     70      0    1315     2000        319
 84      B'    100      0    1415     2000        509
 85      B'    110      0    1525     2000        669
 86      D'     55      0    1580     2000        766
 87      D'     70      0    1650     2000        621
 88      D'     80      0    1730     2000        322
 89      B'    120      0    1850     2000        600
 90      B'    120      0    1970     2000        654
 91      D'     65      0    2035     2000        371
 92      D'     70      0    2105     2000        557
 93      B'    140      0    2245     2000        563
 94      B'    110      0    2355     2000        260
 95      D'     80   -350    2085     2000       3019
 96      D'     90      0    2175     2000       1234
 97      D'     50      0    2225     2000        597
 98      B'    130      0    2355     2000        355
 99      D'     60      0    2415     2000       3469
 100      D'     75      0    2490     2000       2564
