Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      C'     50      0    2050     2000      318341
  2      C'     60      0    2110     2000        640
  3      C'     40    -50    2100     2000        708
  4      D'     50      0    2150     2000        704
  5      C'     55      0    2205     2000        653
  6      C'     55    -50    2210     2000        444
  7      D'     40      0    2250     2000        756
  8      D'     45      0    2295     2000        373
  9      C'     45      0    2340     2000        620
 10      B'    100      0    2440     2000        684
 11      A'    100      0    2540     2000        560
 12      B'     80      0    2620     2000        804
 13      B'    110      0    2730     2000       1064
 14      A'    120      0    2850     2000        492
 15      A'     80   -150    2780     2000        569
 16      B'    120      0    2900     2000        812
 17      B'     90      0    2990     2000        643
 18      B'    100      0    3090     2000        461
 19      A'     90      0    3180     2000        606
 20      A'    110   -300    2990     2000        403
 21      B'     90      0    3080     2000        874
 22      B'    120      0    3200     2000        652
 23      B'    110  -1250    2060     2000        654
 24      B'     80      0    2140     2000       1149
 25      A'    100      0    2240     2000        878
 26      C'     50    -50    2240     2000        785
 27      C'     45      0    2285     2000        408
 28      D'     45      0    2330     2000        565
 29      B'    110      0    2440     2000        528
 30      A'     80   -200    2320     2000        596
 31      A'    120      0    2440     2000        519
 32      B'    100      0    2540     2000        374
 33      A'    110   -250    2400     2000        659
 34      A'     90   -350    2140     2000        770
 35      B'     90      0    2230     2000        528
 36      B'    130  -1500     860     2000        301
 37      C'     60    -50     870     2000        588
 38      D'     55      0     925     2000        542
 39      D'     60      0     985     2000        300
 40      D'     40      0    1025     2000        377
 41      D'     55      0    1080     2000        350
 42      D'     50      0    1130     2000        313
 43      D'     60   -250     940     2000        850
 44      C'     40    -50     930     2000        753
 45      D'     55      0     985     2000        398
 46      C'     55      0    1040     2000        785
 47      D'     40      0    1080     2000        407
 48      C'     55    -25    1110     2000        539
 49      D'     60      0    1170     2000        245
 50      C'     65    -75    1160     2000        319
 51      D'     40      0    1200     2000        232
 52      C'     45      0    1245     2000        261
 53      D'     45      0    1290     2000        312
 54      C'     70    -25    1335     2000        231
 55      D'     55      0    1390     2000        268
 56      D'     65      0    1455     2000        252
 57      D'     70      0    1525     2000        310
 58      D'     50      0    1575     2000        269
 59      C'     40      0    1615     2000        482
 60      C'     50    -25    1640     2000        216
 61      D'     70   -275    1435     2000        236
 62      C'     60    -75    1420     2000        258
 63      D'     60      0    1480     2000        276
 64      D'     55      0    1535     2000        263
 65      D'     65      0    1600     2000        399
 66      D'     80      0    1680     2000        316
 67      D'     40      0    1720     2000        522
 68      D'     80      0    1800     2000        710
 69      D'     40      0    1840     2000        396
 70      D'     65      0    1905     2000        278
 71      D'     55   -300    1660     2000        482
 72      D'     60      0    1720     2000        510
 73      D'     65      0    1785     2000        237
 74      D'     75      0    1860     2000        303
 75      D'     60      0    1920     2000        252
 76      D'     65      0    1985     2000        580
 77      D'     75   -325    1735     2000        384
 78      D'     85      0    1820     2000        639
 79      D'     45      0    1865     2000        313
 80      D'     55      0    1920     2000        365
 81      D'     70      0    1990     2000        595
 82      D'     55      0    2045     2000        284
 83      D'     70      0    2115     2000        658
 84      D'     80      0    2195     2000        296
 85      D'     65      0    2260     2000        509
 86      D'     70      0    2330     2000        652
 87      D'     80   -350    2060     2000        417
 88      D'     90      0    2150     2000        382
 89      D'     50      0    2200     2000        444
 90      D'     60      0    2260     2000        337
 91      D'     75      0    2335     2000       1176
 92      D'     60      0    2395     2000        563
 93      D'     75      0    2470     2000        783
 94      D'     85      0    2555     2000        655
 95      D'     70      0    2625     2000        266
 96      D'     75      0    2700     2000        240
 97      D'     85      0    2785     2000        327
 98      D'     95      0    2880     2000        315
 99      D'     55      0    2935     2000        337
 100      D'     65   -375    2625     2000        325
