Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      N'    100      0    2100     2000      475679
  2      M'    250      0    2350     2000       1041
  3      L'    250      0    2600     2000        132
  4      N'    117      0    2717     2000       4230
  5      M'    220      0    2937     2000      13299
  6      N'    265   -235    2967     2000        940
  7      M'    265      0    3232     2000       3524
  8      N'    280      0    3512     2000       3163
  9      M'    108      0    3620     2000        743
 10      L'    220      0    3840     2000       3895
 11      K'    100      0    3940     2000       2082
 12      M'    108      0    4048     2000       1840
 13      M'    250   -923    3375     2000       3403
 14      N'    235   -250    3360     2000       2071
 15      M'    235      0    3595     2000        761
 16      M'     90      0    3685     2000       2721
 17      N'     90      0    3775     2000       8013
 18      M'    117      0    3892     2000      24132
 19      N'    235   -755    3372     2000       2714
 20      L'     80      0    3452     2000       8689
 21      M'     84   -554    2982     2000        629
 22      M'    265      0    3247     2000       8362
 23      M'    250      0    3497     2000       1105
 24      M'    285      0    3782     2000      10163
 25      N'    280      0    4062     2000        733
 26      N'    265   -515    3812     2000       1516
 27      M'     90      0    3902     2000       1634
 28      M'    134   -740    3296     2000        361
 29      N'    220   -582    2934     2000       5398
 30      N'    108      0    3042     2000       6917
 31      N'    108   -285    2865     2000      29311
 32      K'    120   -250    2735     2000       1623
 33      L'    280      0    3015     2000       4968
 34      N'    125   -550    2590     2000       3742
 35      M'     84      0    2674     2000       2759
 36      N'    295      0    2969     2000        492
 37      N'    280   -275    2974     2000      13612
 38      N'    295      0    3269     2000       1485
 39      K'    265      0    3534     2000       1214
 40      L'    110      0    3644     2000       1852
 41      M'     99      0    3743     2000       1716
 42      M'    117      0    3860     2000       1775
 43      N'    265   -440    3685     2000       4163
 44      K'     55   -200    3540     2000        696
 45      L'    250  -1025    2765     2000       6945
 46      N'    285   -575    2475     2000      11998
 47      M'    134      0    2609     2000        709
 48      M'    101   -549    2161     2000        247
 49      K'    235      0    2396     2000        610
 50      L'     80      0    2476     2000        506
 51      L'    280      0    2756     2000      13219
 52      M'    117      0    2873     2000       2102
 53      N'    250      0    3123     2000        576
 54      M'    125      0    3248     2000        586
 55      N'    280   -516    3012     2000       2686
 56      M'    210      0    3222     2000        696
 57      L'    265  -1325    2162     2000        441
 58      M'    152      0    2314     2000       3269
 59      L'    285      0    2599     2000       4409
 60      N'    280      0    2879     2000       4305
 61      M'    300   -853    2326     2000        476
 62      L'    110      0    2436     2000        439
 63      N'    310   -305    2441     2000        848
 64      M'    300      0    2741     2000        923
 65      M'    108      0    2849     2000        361
 66      K'    100      0    2949     2000       4166
 67      K'    235   -250    2934     2000       2650
 68      N'    108      0    3042     2000        853
 69      L'    250      0    3292     2000        692
 70      M'    125      0    3417     2000        357
 71      N'    295   -250    3462     2000        926
 72      N'     82   -325    3219     2000       5768
 73      K'    120      0    3339     2000         36
 74      M'    112   -560    2891     2000       2921
 75      L'     90      0    2981     2000       2568
 76      L'    295  -1200    2076     2000        751
 77      L'    280      0    2356     2000       2975
 78      N'    117   -500    1973     2000       2531
 79      N'    280      0    2253     2000       1461
 80      N'    280   -550    1983     2000        277
 81      M'    154      0    2137     2000       1006
 82      L'    295      0    2432     2000       1733
 83      M'    295      0    2727     2000       5254
 84      M'    143      0    2870     2000       5744
 85      L'     90      0    2960     2000        334
 86      M'    108      0    3068     2000         95
 87      M'    117      0    3185     2000        650
 88      N'    350   -445    3090     2000       5685
 89      N'    295   -472    2913     2000      14346
 90      L'    285  -1500    1698     2000      11171
 91      K'    110   -300    1508     2000       3728
 92      N'    125   -462    1171     2000      13088
 93      M'    134   -710     595     2000       1972
 94      N'    310      0     905     2000       5506
 95      L'    350      0    1255     2000      79815
 96      L'    305      0    1560     2000        298
 97      L'    280  -1400     440     2000        381
 98      N'    345   -400     385     2000       1178
 99      M'    325      0     710     2000        644
 100      M'    310      0    1020     2000        363
