Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      C'     50      0    2050     2000      233294
  2      C'     60      0    2110     2000       1135
  3      D'     50      0    2160     2000       1003
  4      D'     40      0    2200     2000        969
  5      C'     40    -50    2190     2000        545
  6      B'    100      0    2290     2000        628
  7      B'     80      0    2370     2000        831
  8      B'    110      0    2480     2000        685
  9      B'    120      0    2600     2000        714
 10      B'     90      0    2690     2000        882
 11      B'    100      0    2790     2000        736
 12      B'     90      0    2880     2000        784
 13      B'    120      0    3000     2000       1762
 14      B'    110  -1250    1860     2000        898
 15      A'    100      0    1960     2000        430
 16      C'     55      0    2015     2000        670
 17      D'     45      0    2060     2000       1033
 18      B'     80      0    2140     2000        578
 19      A'    120      0    2260     2000        695
 20      D'     45      0    2305     2000        608
 21      B'    110      0    2415     2000       1219
 22      C'     55    -50    2420     2000       1317
 23      A'     80   -150    2350     2000        755
 24      C'     45      0    2395     2000        622
 25      B'    100      0    2495     2000       1108
 26      B'     90      0    2585     2000        666
 27      B'    130  -1500    1215     2000        634
 28      D'     55      0    1270     2000       1609
 29      D'     60      0    1330     2000        583
 30      C'     50    -50    1330     2000       1391
 31      C'     45      0    1375     2000       2678
 32      A'     90      0    1465     2000        400
 33      A'    110   -300    1275     2000        950
 34      B'    120      0    1395     2000       1148
 35      D'     40      0    1435     2000       1127
 36      A'    100      0    1535     2000        326
 37      D'     55      0    1590     2000       1335
 38      C'     60    -50    1600     2000        660
 39      B'    130      0    1730     2000        625
 40      D'     50      0    1780     2000        889
 41      A'     80   -200    1660     2000       5913
 42      D'     60   -250    1470     2000        738
 43      C'     40    -50    1460     2000       1135
 44      B'    110      0    1570     2000       1422
 45      D'     55      0    1625     2000       1104
 46      B'     90      0    1715     2000        989
 47      B'    100      0    1815     2000       3414
 48      A'    120      0    1935     2000        749
 49      A'    110   -250    1795     2000       1235
 50      D'     40      0    1835     2000       1617
 51      B'    120      0    1955     2000       2349
 52      D'     60      0    2015     2000       3836
 53      B'    120  -1750     385     2000        699
 54      D'     40      0     425     2000        919
 55      A'     90   -350     165     2000        729
 56      C'     55      0     220     2000       4006
 57      D'     45      0     265     2000        941
 58      A'    110      0     375     2000        985
 59      D'     55      0     430     2000       2024
 60      A'    130   -350     210     2000       1677
 61      B'    110      0     320     2000        761
 62      C'     55    -25     350     2000        865
 63      D'     65      0     415     2000        541
 64      A'     90      0     505     2000       2151
 65      C'     65    -75     495     2000        881
 66      B'    140      0     635     2000       1254
 67      D'     70      0     705     2000       2701
 68      B'    130      0     835     2000        806
 69      C'     45      0     880     2000        798
 70      A'    100   -250     730     2000        614
 71      C'     70    -25     775     2000       1753
 72      B'    100      0     875     2000        787
 73      C'     40      0     915     2000        747
 74      D'     50      0     965     2000        585
 75      A'    120   -200     885     2000        665
 76      D'     70   -275     680     2000       2668
 77      C'     50    -25     705     2000        968
 78      B'    110      0     815     2000        625
 79      A'    110      0     925     2000       3953
 80      B'    120      0    1045     2000        908
 81      A'     90   -300     835     2000        865
 82      C'     60    -75     820     2000       1041
 83      D'     60      0     880     2000       3886
 84      B'    120      0    1000     2000       2367
 85      A'    130   -150     980     2000       2385
 86      B'    140      0    1120     2000       6007
 87      C'     70      0    1190     2000       2230
 88      A'    120   -250    1060     2000       3695
 89      C'     40    -50    1050     2000        675
 90      B'    110      0    1160     2000        580
 91      C'     60      0    1220     2000       1783
 92      C'     65    -25    1260     2000        676
 93      C'     55      0    1315     2000       3194
 94      B'    130      0    1445     2000        701
 95      B'    140  -2000    -415     2000        716
 96      B'    120      0    1705     4000       3043
 97      A'    100      0    1805     4000        599
 98      C'     80    -50    1835     4000        341
 99      D'     55      0    1890     4000       1277
 100      C'     40    -25    1905     4000        422
