Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      L'    250      0    2250     2000      580609
  2      K'    100      0    2350     2000        314
  3      M'    250      0    2600     2000        501
  4      N'    100      0    2700     2000        856
  5      N'    117      0    2817     2000        441
  6      K'    120   -250    2687     2000        711
  7      N'    265   -235    2717     2000        724
  8      M'    220      0    2937     2000       1160
  9      M'    265      0    3202     2000        895
 10      L'    220      0    3422     2000       5051
 11      M'    108      0    3530     2000       2467
 12      M'    108      0    3638     2000       2211
 13      M'    250   -923    2965     2000        878
 14      L'     80      0    3045     2000        655
 15      L'    280      0    3325     2000        478
 16      K'    265      0    3590     2000       1093
 17      L'    110      0    3700     2000        611
 18      K'     55   -200    3555     2000        812
 19      N'    280      0    3835     2000        658
 20      L'    250  -1025    3060     2000        825
 21      N'    235   -250    3045     2000        553
 22      N'     90      0    3135     2000        531
 23      N'    235   -755    2615     2000        403
 24      K'    235      0    2850     2000        497
 25      K'    100      0    2950     2000        996
 26      K'    235   -250    2935     2000        784
 27      K'    120      0    3055     2000        488
 28      K'    110   -300    2865     2000        602
 29      K'     60   -150    2775     2000        641
 30      N'    280      0    3055     2000        591
 31      N'    265   -515    2805     2000       1340
 32      N'    220   -582    2443     2000        634
 33      K'    265      0    2708     2000        481
 34      K'     50   -180    2578     2000        511
 35      K'    285      0    2863     2000        879
 36      K'     50   -100    2813     2000        527
 37      K'    120   -170    2763     2000        474
 38      K'     70      0    2833     2000        412
 39      K'    265   -165    2933     2000       1281
 40      K'     50   -185    2798     2000        510
 41      K'     50   -190    2658     2000        433
 42      K'     55      0    2713     2000        459
 43      K'     50   -225    2538     2000       1477
 44      N'    108      0    2646     2000       1954
 45      K'    310   -310    2646     2000        808
 46      M'    235      0    2881     2000        894
 47      K'    110      0    2991     2000        590
 48      K'    295   -200    3086     2000       2563
 49      K'     75      0    3161     2000        861
 50      K'    120   -180    3101     2000       1201
 51      K'    130   -175    3056     2000       1784
 52      K'    110    -50    3116     2000       1518
 53      K'    350   -180    3286     2000       1349
 54      K'     60      0    3346     2000        669
 55      K'    130   -200    3276     2000        839
 56      K'    310   -275    3311     2000        637
 57      K'    345   -365    3291     2000       1274
 58      K'    130   -210    3211     2000       1542
 59      K'    150   -160    3201     2000       1919
 60      K'     80      0    3281     2000       1802
 61      K'    140   -130    3291     2000        654
 62      K'    325    -70    3546     2000        933
 63      K'    150   -100    3596     2000       1060
 64      K'     60      0    3656     2000       1717
 65      K'    140   -310    3486     2000        686
 66      K'    130   -150    3466     2000       1439
 67      K'    150   -175    3441     2000       1008
 68      K'    380   -210    3611     2000        729
 69      K'    360   -260    3711     2000        667
 70      K'     60      0    3771     2000        586
 71      K'    150   -150    3771     2000       1473
 72      K'    340   -155    3956     2000        578
 73      K'    130   -120    3966     2000        884
 74      K'    120   -100    3986     2000        706
 75      K'    325   -350    3961     2000        648
 76      K'    340   -200    4101     2000        854
 77      K'    410    -75    4436     2000       1074
 78      K'    150    -75    4511     2000       2740
 79      K'    130   -150    4491     2000       1520
 80      K'     70   -320    4241     2000        783
 81      K'    160   -125    4276     2000        715
 82      K'    215   -200    4291     2000        983
 83      K'    170   -150    4311     2000       1349
 84      K'    130   -105    4336     2000       1653
 85      N'    108   -285    4159     2000        980
 86      N'    125   -550    3734     2000        579
 87      N'    295      0    4029     2000        891
 88      N'    280   -275    4034     2000       1022
 89      N'    295      0    4329     2000        688
 90      N'    265   -440    4154     2000       1819
 91      N'    285   -575    3864     2000        590
 92      N'    250      0    4114     2000        665
 93      N'    280   -516    3878     2000       3805
 94      N'    280      0    4158     2000        985
 95      N'    310   -305    4163     2000       1277
 96      N'    108      0    4271     2000       2424
 97      N'    295   -250    4316     2000       2727
 98      N'     82   -325    4073     2000       1856
 99      N'    117   -500    3690     2000        864
 100      N'    280      0    3970     2000        567
