Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      K'    100      0    2100     2000      564333
  2      L'    250      0    2350     2000       1608
  3      M'    250      0    2600     2000       1730
  4      N'    100      0    2700     2000        965
  5      K'    120   -250    2570     2000       1398
  6      L'    220      0    2790     2000       1750
  7      M'    220      0    3010     2000       2252
  8      N'    117      0    3127     2000       1784
  9      L'     80      0    3207     2000        965
 10      M'    265      0    3472     2000       1498
 11      N'    265   -235    3502     2000       1537
 12      L'    280      0    3782     2000       3063
 13      M'    108      0    3890     2000       1167
 14      L'    110      0    4000     2000       2934
 15      M'    108      0    4108     2000       2900
 16      M'    250   -923    3435     2000       2827
 17      L'    250  -1025    2660     2000       1969
 18      K'    265      0    2925     2000       1040
 19      N'    280      0    3205     2000       1763
 20      N'    235   -250    3190     2000        810
 21      K'     55   -200    3045     2000       2167
 22      K'    235      0    3280     2000       3732
 23      N'     90      0    3370     2000       2774
 24      N'    235   -755    2850     2000       2147
 25      K'    100      0    2950     2000       3224
 26      K'    235   -250    2935     2000       3426
 27      M'    235      0    3170     2000       3644
 28      K'    120      0    3290     2000       2801
 29      K'    110   -300    3100     2000       3081
 30      L'     80      0    3180     2000       1313
 31      M'     90      0    3270     2000       1381
 32      N'    280      0    3550     2000       2520
 33      M'    117      0    3667     2000       4843
 34      N'    265   -515    3417     2000       4132
 35      K'     60   -150    3327     2000       3157
 36      L'    280      0    3607     2000       3630
 37      L'    265  -1325    2547     2000       2866
 38      K'    265      0    2812     2000       2699
 39      N'    220   -582    2450     2000        590
 40      M'     84   -554    1980     2000       2681
 41      K'     50   -180    1850     2000       2356
 42      L'    285      0    2135     2000       3869
 43      L'    110      0    2245     2000       4934
 44      L'    250      0    2495     2000       1913
 45      L'     90      0    2585     2000       2528
 46      L'    295  -1200    1680     2000       1606
 47      K'    285      0    1965     2000       5388
 48      M'    265      0    2230     2000       1031
 49      N'    108      0    2338     2000       1937
 50      K'     50   -100    2288     2000       1286
 51      K'    120   -170    2238     2000       1705
 52      M'    250      0    2488     2000       1679
 53      M'    285      0    2773     2000       2627
 54      M'     90      0    2863     2000       2199
 55      M'    134   -740    2257     2000       1670
 56      N'    108   -285    2080     2000       3494
 57      L'    280      0    2360     2000       4001
 58      L'    295      0    2655     2000       7344
 59      L'     90      0    2745     2000       4524
 60      L'    285  -1500    1530     2000       4236
 61      K'     70      0    1600     2000         38
 62      N'    125   -550    1175     2000        580
 63      K'    265   -165    1275     2000       1339
 64      M'     84      0    1359     2000       2548
 65      M'     99      0    1458     2000       1293
 66      M'    117      0    1575     2000       2212
 67      M'    134      0    1709     2000       1750
 68      M'    101   -549    1261     2000       2796
 69      L'    350      0    1611     2000       2065
 70      L'    305      0    1916     2000       4868
 71      L'    280  -1400     796     2000       1046
 72      N'    295      0    1091     2000       2136
 73      N'    280   -275    1096     2000       1215
 74      N'    295      0    1391     2000       2849
 75      N'    265   -440    1216     2000       2447
 76      K'     50   -185    1081     2000       1638
 77      M'    117      0    1198     2000       2222
 78      M'    125      0    1323     2000       1204
 79      M'    210      0    1533     2000       4311
 80      M'    152      0    1685     2000       2104
 81      M'    300   -853    1132     2000       3431
 82      N'    285   -575     842     2000       1546
 83      L'    140      0     982     2000       1052
 84      L'    310      0    1292     2000       2171
 85      L'    110      0    1402     2000       2704
 86      L'    300      0    1702     2000       1510
 87      L'    300      0    2002     2000       1125
 88      L'    280      0    2282     2000       2957
 89      K'     50   -190    2142     2000       4660
 90      M'    300      0    2442     2000       1536
 91      M'    108      0    2550     2000       4986
 92      L'    280  -1485    1345     2000       1746
 93      N'    250      0    1595     2000        784
 94      N'    280   -516    1359     2000       3156
 95      K'     55      0    1414     2000       3804
 96      N'    280      0    1694     2000       2146
 97      N'    310   -305    1699     2000       4925
 98      N'    108      0    1807     2000       2765
 99      N'    295   -250    1852     2000       2161
 100      N'     82   -325    1609     2000       7290
