Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      Q'    600      0    2600     2000      210492
  2      Q'    180   -550    2230     2000        311
  3      R'    150      0    2380     2000        747
  4      R'    480   -750    2110     2000        376
  5      S'    150      0    2260     2000        374
  6      T'    600      0    2860     2000        406
  7      Q'    120      0    2980     2000       1799
  8      R'    120      0    3100     2000      11212
  9      R'    720   -950    2870     2000       5532
 10      Q'    720   -650    2940     2000       1060
 11      R'    165      0    3105     2000       1417
 12      S'    180      0    3285     2000        955
 13      S'    660      0    3945     2000       5791
 14      T'    480      0    4425     2000       5225
 15      T'    120      0    4545     2000       2518
 16      S'    720      0    5265     2000       2625
 17      T'    135      0    5400     2000         17
 18      R'    600      0    6000     2000        561
 19      T'    540      0    6540     2000       3521
 20      S'    540      0    7080     2000        637
 21      R'    120   -950    6250     2000        660
 22      T'    150  -1495    4905     2000        307
 23      S'    150  -2355    2700     2000        272
 24      Q'    165      0    2865     2000        576
 25      T'    540      0    3405     2000        378
 26      S'    540      0    3945     2000        523
 27      R'    720      0    4665     2000         21
 28      T'    180      0    4845     2000         16
 29      S'    720      0    5565     2000         98
 30      S'    660      0    6225     2000      16590
 31      R'    660   -825    6060     2000       5894
 32      T'    165      0    6225     2000        467
 33      Q'    600      0    6825     2000        572
 34      Q'    120   -530    6415     2000       3263
 35      T'    135  -1300    5250     2000        667
 36      S'    135  -2350    3035     2000       1153
 37      R'    480   -990    2525     2000        259
 38      R'    165      0    2690     2000       7363
 39      S'    660      0    3350     2000        990
 40      T'    660      0    4010     2000       1188
 41      Q'    180      0    4190     2000       3132
 42      R'    600   -600    4190     2000        562
 43      R'    135      0    4325     2000      10780
 44      T'    195      0    4520     2000        459
 45      S'    195      0    4715     2000        170
 46      Q'    165   -800    4080     2000       2023
 47      R'    780   -650    4210     2000        171
 48      S'    135      0    4345     2000        238
 49      T'    540      0    4885     2000        831
 50      Q'    480   -550    4815     2000       2073
 51      R'    180   -945    4050     2000       1348
 52      S'    150      0    4200     2000         23
 53      S'    180  -2600    1780     2000        724
 54      T'    150      0    1930     2000        317
 55      T'    720  -1600    1050     2000        312
 56      T'    165      0    1215     2000      11612
 57      R'    780      0    1995     2000       8707
 58      R'    135   -650    1480     2000        447
 59      S'    780      0    2260     2000        510
 60      R'    540   -600    2200     2000       4899
 61      S'    660      0    2860     2000        381
 62      R'    600  -1490    1970     2000       6069
 63      S'    540      0    2510     2000       2203
 64      Q'    165      0    2675     2000        381
 65      T'    660      0    3335     2000        417
 66      T'    195      0    3530     2000        145
 67      T'    180      0    3710     2000         55
 68      T'    150  -1750    2110     2000       1215
 69      S'    600      0    2710     2000        302
 70      R'    720      0    3430     2000       1184
 71      Q'    600   -450    3580     2000       1147
 72      S'    720  -2320    1980     2000        689
 73      T'    180      0    2160     2000        305
 74      S'    720      0    2880     2000        652
 75      S'    210      0    3090     2000       3512
 76      Q'    135      0    3225     2000       4415
 77      S'    840      0    4065     2000      14381
 78      S'    165      0    4230     2000        649
 79      R'    720   -600    4350     2000        569
 80      T'    660      0    5010     2000        197
 81      Q'    150   -500    4660     2000         70
 82      T'    840      0    5500     2000        957
 83      T'    165      0    5665     2000        754
 84      T'    150  -1850    3965     2000         81
 85      R'    210   -625    3550     2000        302
 86      S'    600  -2700    1450     2000        345
 87      T'    180      0    1630     2000        582
 88      T'    720      0    2350     2000        331
 89      T'    165      0    2515     2000      12712
 90      Q'    720   -600    2635     2000       2646
 91      T'    840  -1950    1525     2000      10184
 92      S'    180      0    1705     2000        278
 93      Q'    165      0    1870     2000        406
 94      S'    720      0    2590     2000      10043
 95      S'    720      0    3310     2000         31
 96      R'    165      0    3475     2000         22
 97      R'    780   -705    3550     2000        571
 98      Q'    135   -450    3235     2000       1288
 99      T'    180      0    3415     2000       1285
 100      Q'    540   -550    3405     2000       1378
