Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      T'    600      0    2600     2000      149878
  2      S'    150      0    2750     2000        906
  3      R'    150      0    2900     2000        631
  4      Q'    600      0    3500     2000        457
  5      Q'    180   -550    3130     2000        865
  6      R'    480   -750    2860     2000        499
  7      T'    480      0    3340     2000       5124
  8      S'    180      0    3520     2000       5386
  9      T'    120      0    3640     2000       5604
 10      S'    660      0    4300     2000       3306
 11      S'    720      0    5020     2000       5298
 12      T'    135      0    5155     2000       1157
 13      S'    540      0    5695     2000       6261
 14      S'    150  -2355    3490     2000      11105
 15      T'    540      0    4030     2000       1025
 16      T'    150  -1495    2685     2000       4424
 17      R'    120      0    2805     2000       5400
 18      S'    540      0    3345     2000        532
 19      Q'    120      0    3465     2000       8521
 20      S'    720      0    4185     2000      10407
 21      T'    540      0    4725     2000      25951
 22      T'    180      0    4905     2000      27436
 23      R'    720   -950    4675     2000      45335
 24      S'    660      0    5335     2000      50574
 25      T'    165      0    5500     2000      33707
 26      T'    135  -1300    4335     2000      130330
 27      S'    135  -2350    2120     2000      47808
 28      S'    660      0    2780     2000      53861
 29      S'    195      0    2975     2000      37376
 30      T'    660      0    3635     2000      56211
 31      R'    165      0    3800     2000       6910
 32      R'    600      0    4400     2000      25632
 33      Q'    720   -650    4470     2000      39643
 34      Q'    165      0    4635     2000        200
 35      R'    120   -950    3805     2000       4660
 36      S'    135      0    3940     2000        835
 37      S'    150      0    4090     2000      34713
 38      R'    720      0    4810     2000      14161
 39      T'    195      0    5005     2000       1001
 40      R'    660   -825    4840     2000        523
 41      R'    480   -990    4330     2000       1747
 42      R'    165      0    4495     2000      22641
 43      R'    600   -600    4495     2000        428
 44      Q'    600      0    5095     2000       2753
 45      S'    180  -2600    2675     2000        515
 46      R'    135      0    2810     2000       4381
 47      T'    540      0    3350     2000       1461
 48      S'    780      0    4130     2000        651
 49      R'    780   -650    4260     2000        704
 50      Q'    120   -530    3850     2000       1500
 51      S'    660      0    4510     2000        847
 52      S'    540      0    5050     2000      27808
 53      R'    180   -945    4285     2000        469
 54      Q'    180      0    4465     2000        713
 55      T'    150      0    4615     2000        901
 56      R'    780      0    5395     2000        647
 57      Q'    165   -800    4760     2000       1396
 58      T'    720  -1600    3880     2000       1715
 59      S'    600      0    4480     2000        517
 60      S'    720  -2320    2880     2000        255
 61      S'    720      0    3600     2000      15482
 62      Q'    480   -550    3530     2000       3609
 63      T'    165      0    3695     2000        648
 64      R'    135   -650    3180     2000       5380
 65      T'    660      0    3840     2000      200204
 66      S'    210      0    4050     2000       1542
 67      Q'    165      0    4215     2000       3448
 68      S'    840      0    5055     2000       3566
 69      S'    165      0    5220     2000       3662
 70      S'    600  -2700    3120     2000      14610
 71      R'    540   -600    3060     2000       1980
 72      Q'    600   -450    3210     2000       1300
 73      Q'    135      0    3345     2000       6887
 74      R'    600  -1490    2455     2000      29758
 75      Q'    150   -500    2105     2000      63939
 76      T'    195      0    2300     2000      23720
 77      T'    180      0    2480     2000       7311
 78      R'    720      0    3200     2000       8442
 79      Q'    720   -600    3320     2000        649
 80      T'    150  -1750    1720     2000        878
 81      S'    180      0    1900     2000       1251
 82      R'    720   -600    2020     2000        521
 83      R'    210   -625    1605     2000       1882
 84      R'    165      0    1770     2000       6781
 85      Q'    165      0    1935     2000      13589
 86      R'    780   -705    2010     2000       4919
 87      R'    600      0    2610     2000      13248
 88      R'    660   -655    2615     2000       6431
 89      Q'    135   -450    2300     2000      12077
 90      R'    195   -555    1940     2000       5818
 91      Q'    540   -550    1930     2000       7665
 92      T'    180      0    2110     2000       3630
 93      S'    720      0    2830     2000      13971
 94      S'    720      0    3550     2000       8461
 95      R'    720   -600    3670     2000       2804
 96      S'    840  -2825    1685     2000       9658
 97      R'    210  -1530     365     2000      11527
 98      R'    660      0    1025     2000       3611
 99      R'    195   -700     520     2000      14296
 100      S'    180      0     700     2000       1103
