Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      K'    100      0    2100     2000      257588
  2      L'    250      0    2350     2000        323
  3      M'    250      0    2600     2000        826
  4      N'    100      0    2700     2000        412
  5      K'    120   -250    2570     2000       8575
  6      L'    220      0    2790     2000        366
  7      M'    220      0    3010     2000       1547
  8      N'    117      0    3127     2000        778
  9      L'     80      0    3207     2000        640
 10      M'    265      0    3472     2000       2744
 11      N'    265   -235    3502     2000       1561
 12      L'    280      0    3782     2000       7948
 13      M'    108      0    3890     2000       4341
 14      L'    110      0    4000     2000       3762
 15      M'    108      0    4108     2000        550
 16      L'    250  -1025    3333     2000      11708
 17      M'    250   -923    2660     2000        787
 18      K'    265      0    2925     2000        197
 19      N'    280      0    3205     2000       7013
 20      L'     80      0    3285     2000        596
 21      M'    235      0    3520     2000       2907
 22      K'     55   -200    3375     2000        800
 23      N'    235   -250    3360     2000       2706
 24      L'    280      0    3640     2000       3976
 25      M'     90      0    3730     2000       2278
 26      L'    265  -1325    2670     2000        852
 27      M'    117      0    2787     2000        902
 28      M'     84   -554    2317     2000       1123
 29      N'     90      0    2407     2000        899
 30      N'    235   -755    1887     2000       1471
 31      K'    235      0    2122     2000        762
 32      K'    100      0    2222     2000        432
 33      K'    235   -250    2207     2000      17199
 34      K'    120      0    2327     2000       3160
 35      K'    110   -300    2137     2000       1683
 36      L'    285      0    2422     2000       1093
 37      M'    265      0    2687     2000      10727
 38      L'    110      0    2797     2000        807
 39      N'    280      0    3077     2000       1412
 40      M'    250      0    3327     2000        384
 41      K'     60   -150    3237     2000       2366
 42      M'    285      0    3522     2000       7050
 43      L'    250      0    3772     2000       9550
 44      N'    265   -515    3522     2000       8130
 45      M'     90      0    3612     2000       1350
 46      K'    265      0    3877     2000       6938
 47      M'    134   -740    3271     2000      15965
 48      K'     50   -180    3141     2000       3275
 49      N'    220   -582    2779     2000       3292
 50      L'     90      0    2869     2000      17184
 51      N'    108      0    2977     2000       7008
 52      L'    295  -1200    2072     2000       1617
 53      N'    108   -285    1895     2000       4891
 54      M'     84      0    1979     2000       4329
 55      K'    285      0    2264     2000      14813
 56      M'     99      0    2363     2000       2958
 57      N'    125   -550    1938     2000        322
 58      K'     50   -100    1888     2000        639
 59      M'    117      0    2005     2000      10492
 60      M'    134      0    2139     2000       1723
 61      K'    120   -170    2089     2000        681
 62      K'     70      0    2159     2000      14591
 63      M'    101   -549    1711     2000       8695
 64      K'    265   -165    1811     2000        614
 65      N'    295      0    2106     2000      24953
 66      M'    117      0    2223     2000        469
 67      N'    280   -275    2228     2000       1608
 68      M'    125      0    2353     2000       1506
 69      M'    210      0    2563     2000       4542
 70      N'    295      0    2858     2000      14300
 71      M'    152      0    3010     2000       7389
 72      N'    265   -440    2835     2000      14936
 73      L'    280      0    3115     2000      12731
 74      N'    285   -575    2825     2000      10159
 75      K'     50   -185    2690     2000      20779
 76      N'    250      0    2940     2000        489
 77      L'    295      0    3235     2000        497
 78      M'    300   -853    2682     2000        436
 79      L'     90      0    2772     2000       1727
 80      N'    280   -516    2536     2000       6346
 81      K'     50   -190    2396     2000        502
 82      L'    285  -1500    1181     2000       3305
 83      M'    300      0    1481     2000       2330
 84      K'     55      0    1536     2000       7144
 85      N'    280      0    1816     2000        467
 86      L'    350      0    2166     2000       3285
 87      M'    108      0    2274     2000        505
 88      N'    310   -305    2279     2000       3209
 89      L'    305      0    2584     2000       9540
 90      L'    280  -1400    1464     2000       9071
 91      K'     50   -225    1289     2000       7537
 92      N'    108      0    1397     2000       4373
 93      M'    125      0    1522     2000       2176
 94      K'    310   -310    1522     2000       6106
 95      N'    295   -250    1567     2000       2025
 96      M'    112   -560    1119     2000       9477
 97      N'     82   -325     876     2000       1023
 98      K'    110      0     986     2000       5848
 99      L'    140      0    1126     2000       1484
 100      M'    154      0    1280     2000      11847
