Gambling Task V.2.0  c2002                    

By:                                           

Antoine Bechara                               
Department of Neurology                       
University of Iowa                            

Based on the Gambling Task as published in:   

Bechara, A., Damasio, A. R., Damasio, H., &   
Anderson, S. W. (1994). Insensitivity to      
future consequences following damage to human 
prefrontal cortex. Cognition, 50, 7-15.       

Bechara, A., Tranel, D., & Damasio, H. (2000).
Characterization of the decision-making       
impairment of patients with bilateral lesions 
of the ventromedial prefrontal cortex.        
Brain, 123, 2189-2202.                        

Trial   Deck   Win   Lose   Score    Borrow    Time(ms)
  1      N'    100      0    2100     2000      142428
  2      K'    100      0    2200     2000        575
  3      L'    250      0    2450     2000        230
  4      M'    250      0    2700     2000         17
  5      M'    220      0    2920     2000        405
  6      L'    220      0    3140     2000        271
  7      L'     80      0    3220     2000        800
  8      N'    117      0    3337     2000       2592
  9      N'    265   -235    3367     2000        956
 10      N'    280      0    3647     2000        326
 11      N'    235   -250    3632     2000        316
 12      K'    120   -250    3502     2000         25
 13      L'    280      0    3782     2000        669
 14      L'    110      0    3892     2000        470
 15      K'    265      0    4157     2000        521
 16      L'    250  -1025    3382     2000        546
 17      M'    265      0    3647     2000        567
 18      N'     90      0    3737     2000       1094
 19      N'    235   -755    3217     2000        859
 20      N'    280      0    3497     2000        412
 21      N'    265   -515    3247     2000        433
 22      K'     55   -200    3102     2000        340
 23      K'    235      0    3337     2000        435
 24      K'    100      0    3437     2000        449
 25      K'    235   -250    3422     2000       1373
 26      K'    120      0    3542     2000        546
 27      K'    110   -300    3352     2000        872
 28      K'     60   -150    3262     2000        529
 29      M'    108      0    3370     2000         68
 30      M'    108      0    3478     2000        445
 31      M'    250   -923    2805     2000       1510
 32      M'    235      0    3040     2000        278
 33      N'    220   -582    2678     2000        806
 34      M'     90      0    2768     2000        608
 35      M'    117      0    2885     2000        490
 36      M'     84   -554    2415     2000       4562
 37      L'     80      0    2495     2000        776
 38      L'    280      0    2775     2000        358
 39      L'    265  -1325    1715     2000       2084
 40      M'    265      0    1980     2000        673
 41      M'    250      0    2230     2000        533
 42      N'    108      0    2338     2000       2557
 43      N'    108   -285    2161     2000        377
 44      L'    285      0    2446     2000        430
 45      M'    285      0    2731     2000        508
 46      L'    110      0    2841     2000       4935
 47      M'     90      0    2931     2000       3374
 48      M'    134   -740    2325     2000       3509
 49      L'    250      0    2575     2000        463
 50      L'     90      0    2665     2000       1189
 51      L'    295  -1200    1760     2000       6393
 52      M'     84      0    1844     2000        198
 53      M'     99      0    1943     2000        774
 54      M'    117      0    2060     2000        477
 55      K'    265      0    2325     2000       3006
 56      K'     50   -180    2195     2000       2330
 57      L'    280      0    2475     2000       9408
 58      L'    295      0    2770     2000        660
 59      N'    125   -550    2345     2000       1214
 60      M'    134      0    2479     2000       2738
 61      M'    101   -549    2031     2000       9139
 62      L'     90      0    2121     2000        752
 63      L'    285  -1500     906     2000        454
 64      K'    285      0    1191     2000        496
 65      K'     50   -100    1141     2000       3235
 66      K'    120   -170    1091     2000       3838
 67      N'    295      0    1386     2000       6355
 68      N'    280   -275    1391     2000       5591
 69      M'    117      0    1508     2000       3981
 70      M'    125      0    1633     2000      16891
 71      L'    350      0    1983     2000       7881
 72      L'    305      0    2288     2000        931
 73      N'    295      0    2583     2000       2948
 74      L'    280  -1400    1463     2000        986
 75      N'    265   -440    1288     2000       1153
 76      M'    210      0    1498     2000       3006
 77      M'    152      0    1650     2000       6824
 78      N'    285   -575    1360     2000        988
 79      L'    140      0    1500     2000        336
 80      L'    310      0    1810     2000       4363
 81      M'    300   -853    1257     2000       8678
 82      K'     70      0    1327     2000      15491
 83      M'    300      0    1627     2000      34508
 84      L'    110      0    1737     2000       9180
 85      N'    250      0    1987     2000      10343
 86      N'    280   -516    1751     2000       6660
 87      M'    108      0    1859     2000        638
 88      M'    125      0    1984     2000        321
 89      L'    300      0    2284     2000       8763
 90      L'    300      0    2584     2000       5951
 91      M'    112   -560    2136     2000      13647
 92      L'    280      0    2416     2000        332
 93      L'    280  -1485    1211     2000        448
 94      L'    140      0    1351     2000        426
 95      L'    295      0    1646     2000        557
 96      L'    295      0    1941     2000       6524
 97      M'    154      0    2095     2000       3249
 98      K'    265   -165    2195     2000        589
 99      L'    120  -1550     765     2000       1387
 100      N'    280      0    1045     2000        187
